タイムスタンプ	1	2	3	4	5	6	7	8	9	10
2025/01/03 1:20:12	3	5	5	8	10	5	6	6	4	4
2025/01/03 1:20:58	3	8	8	10	8	3	3	5	3	1
2025/01/03 1:37:29	3	5	5	5	7	5	2	8	5	3
2025/01/03 1:41:23	4	10	8	7	10	5	4	5	4	4
2025/01/03 2:34:18	4	3	3	6	3	4	4	8	8	3
2025/01/03 2:59:16	4	5	8	10	9	9	6	6	7	7
2025/01/03 3:03:27	4	6	7	5	9	7	3	5	6	5
2025/01/03 5:02:18	8	2	6	3	2	4	1	3	3	7
2025/01/03 8:25:05	7	10	8	10	8	8	5	7	6	6
2025/01/03 8:38:44	2	5	2	3	8	4	9	9	8	4
2025/01/03 8:47:14	7	6	3	4	6	5	8	4	3	3
2025/01/03 8:52:40	5	8	7	6	6	5	3	5	4	4
2025/01/03 9:04:52	6	5	8	7	7	5	2	5	8	4
2025/01/03 9:48:49	6	7	7	8	9	7	8	8	9	7
2025/01/03 9:56:46	3	6	4	6	7	4	1	4	5	2
2025/01/03 10:08:58	5	7	6	8	6	5	5	6	7	4
2025/01/03 10:09:01	10	10	10	10	10	10	8	10	10	8
2025/01/03 10:13:37	3	5	3	4	3	2	2	3	3	2
2025/01/03 10:33:23	7	5	6	5	10	4	6	5	6	7
2025/01/03 12:49:15	6	5	6	7	8	6	3	7	6	6
2025/01/03 12:50:47	3	5	6	10	5	7	1	5	5	4
2025/01/03 14:55:42	6	8	9	9	10	10	3	7	8	8